更新日期：2016/11/08
項次,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,,
="龍潭淨水場(Longtan)桃園市龍潭區佳安村文化路209號",="0.10",="0.92",="138",="0.00084",="0.70",="0.80",="<5",="<1",="71.2",="7.6",="3.5",="33.5",="ND",="ND",="94.7",="0.04",="ND",="<1",="<1",="0.0110",="0.00044",="0.00027",="ND",="0.00087",="ND",="0.00045",="0.00068",="ND",="ND",="0.0123",="0.00024",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.130",="ND",="Y",
="新竹第一淨水場(Hsinchu First)新竹市博愛街1號",="0.13",="1.21",="208",="0.00034",="0.69",="0.15",="<5",="<1",="109",="7.6",="8.9",="45.7",="0.04",="<0.01",="153",="0.02",="ND",="<1",="<1",="0.00606",="ND",="ND",="ND",="ND",="ND",="0.00090",="ND",="ND",="ND",="0.0181",="0.00015",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.136",="ND",="Y",
="新竹第二淨水場(Hsinchu Second)新竹市東美路91巷100號",="0.13",="0.79",="208",="0.00033",="0.69",="0.15",="<5",="<1",="106",="7.9",="9.4",="41.6",="ND",="<0.01",="143",="0.02",="ND",="2",="<1",="0.00986",="ND",="ND",="ND",="ND",="ND",="0.00062",="ND",="ND",="ND",="0.0172",="0.00011",="0.03",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.121",="ND",="Y",
="寶山淨水場(Baoshan)新竹縣竹東鎮柯湖里柯湖路三段305巷130號",="0.12",="0.31",="227",="0.00102",="0.77",="0.15",="<5",="1",="95.0",="7.5",="5.2",="63.5",="0.05",="<0.01",="145",="0.02",="ND",="1",="<1",="0.0110",="ND",="ND",="ND",="0.00539",="ND",="0.0241",="0.00467",="0.00277",="0.00026",="0.0219",="0.00020",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0974",="ND",="Y",
="湳雅淨水場(Nanya)新竹市湳雅街313巷32弄28號",="0.11",="1.13",="217",="0.00037",="0.66",="0.85",="<5",="<1",="112",="7.7",="12.0",="46.3",="0.04",="<0.01",="156",="0.04",="0.008",="<1",="<1",="0.0119",="ND",="0.00111",="ND",="ND",="ND",="0.00114",="ND",="0.00073",="0.00014",="0.0195",="0.00016",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.174",="ND",="Y",
="員崠淨水場(Yuntong)新竹縣竹東鎮員崠淨仔61號",="0.10",="0.49",="208",="0.00054",="0.56",="0.25",="<5",="<1",="98.5",="8.1",="3.9",="62.6",="0.03",="<0.01",="154",="0.02",="ND",="5",="<1",="0.00101",="ND",="ND",="ND",="0.0175",="ND",="0.00195",="0.00271",="ND",="ND",="0.0148",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0858",="ND",="Y",
="東興淨水場(Donsin)苗栗縣頭份鎮上興里水源路417巷14號",="0.09",="0.50",="146",="0.00050",="0.79",="0.25",="<5",="<1",="85.6",="7.8",="5.6",="29.7",="0.03",="<0.01",="105",="0.04",="0.006",="1",="<1",="0.0173",="ND",="0.00156",="ND",="ND",="ND",="0.00251",="ND",="ND",="0.00012",="0.0206",="0.00010",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.143",="ND",="Y",
="明德淨水場(Minde)苗栗縣頭屋鄉明德村明德路151號",="0.12",="0.90",="171",="0.00166",="0.85",="0.10",="<5",="2",="101",="7.5",="10.3",="24.2",="0.04",="ND",="110",="0.02",="ND",="<1",="<1",="0.0345",="ND",="ND",="ND",="0.0119",="ND",="0.00075",="0.00356",="0.00157",="ND",="0.0160",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.102",="ND",="Y",
="豐原淨水場(Fongyuan)台中市豐原區豐勢路2段1200巷6號",="0.12",="0.61",="158",="0.00019",="0.69",="0.35",="<5",="<1",="78.5",="7.7",="3.6",="34.6",="ND",="ND",="110",="ND",="ND",="14",="<1",="0.00389",="0.00176",="ND",="0.00049",="ND",="ND",="0.00060",="ND",="0.00098",="ND",="0.00470",="0.00029",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.130",="ND",="Y",
="鯉魚潭淨水場(Liyutan)台中市后里區三豐路352之1號",="0.14",="0.40",="220",="0.00048",="0.77",="0.15",="<5",="<1",="95.9",="7.7",="2.5",="87.0",="ND",="ND",="161",="ND",="ND",="<1",="<1",="0.00729",="0.00174",="ND",="ND",="0.00639",="0.00214",="0.00111",="0.00160",="0.00196",="0.00012",="0.00662",="0.00025",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0792",="ND",="Y",
="霧峰淨水場(Wufong)台中市霧峰區民生路99巷7號",="0.13",="1.40",="325",="0.00060",="0.43",="0.20",="<5",="<1",="186",="7.2",="12.3",="50.1",="ND",="ND",="145",="ND",="ND",="<1",="<1",="ND",="ND",="ND",="ND",="0.00970",="ND",="0.00250",="ND",="ND",="ND",="0.0174",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.00920",="ND",="Y",
="大安淨水場(Daan)台中市大安區中山南路680號",="0.09",="1.32",="238",="0.00040",="0.52",="0.25",="<5",="<1",="115",="7.2",="7.8",="53.5",="ND",="ND",="162",="ND",="ND",="1",="<1",="ND",="ND",="ND",="ND",="ND",="ND",="0.00180",="0.00151",="ND",="ND",="0.00582",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0336",="ND",="Y",
="彰化第三淨水場(Changhua Third)彰化縣和美鎮水源路750號",="0.11",="0.11",="461",="0.00145",="0.57",="0.15",="<5",="<1",="210",="7.6",="42.6",="103",="ND",="ND",="274",="ND",="ND",="<1",="<1",="0.00709",="ND",="ND",="ND",="ND",="ND",="0.00116",="0.00109",="0.00070",="0.00015",="0.0187",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0253",="ND",="Y",
="員林第二淨水場(Yuanlin Second)彰化縣員林鎮南平里靜修路74-21號",="0.17",="0.05",="191",="0.00211",="0.47",="0.25",="<5",="<1",="161",="8.0",="6.5",="31.6",="ND",="ND",="139",="0.02",="ND",="2",="<1",="0.00064",="ND",="ND",="ND",="0.00598",="ND",="ND",="ND",="ND",="ND",="0.0115",="0.00018",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0103",="ND",="Y",
="埤仔頭淨水場(Pizitou)雲林縣斗六市重光里榮譽路915號",="0.12",="5.24",="338",="0.00122",="0.48",="0.25",="<5",="<1",="112",="6.9",="10.9",="84.2",="ND",="ND",="199",="0.07",="ND",="1",="<1",="0.00331",="0.00028",="0.00036",="ND",="0.00674",="ND",="0.00346",="0.00115",="ND",="0.00002",="0.00844",="0.00014",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0425",="<0.001",="Y",
="林內淨水場(Linnei)雲林縣林內鄉烏麻村長源180號",="0.11",="0.58",="326",="0.00127",="0.60",="0.25",="<5",="<1",="124",="7.9",="8.1",="96.0",="ND",="ND",="206",="0.06",="ND",="11",="<1",="0.00552",="ND",="0.00047",="ND",="0.00358",="ND",="0.00177",="0.00145",="0.00082",="0.00001",="0.00654",="0.00027",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0433",="<0.001",="Y",
="蘭潭淨水場(Lantan)嘉義市小雅路53號",="0.12",="0.24",="267",="0.00105",="0.71",="0.30",="<5",="<1",="131",="8.1",="8.9",="64.3",="ND",="ND",="149",="0.08",="ND",="1",="<1",="0.0277",="ND",="0.00019",="ND",="0.00228",="ND",="0.00124",="ND",="ND",="ND",="0.0186",="0.00015",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0304",="<0.001",="Y",
="公園淨水場(Gonyuan)嘉義市民權東路46號",="0.12",="0.34",="283",="0.00053",="0.71",="0.20",="<5",="<1",="131",="7.9",="13.0",="68.6",="ND",="ND",="156",="0.08",="ND",="1",="<1",="0.0232",="ND",="ND",="ND",="0.00206",="ND",="0.00173",="0.00032",="ND",="ND",="0.0200",="0.00017",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.00642",="<0.001",="Y",
="水上淨水場(Shueishang)嘉義縣水上鄉龍德村三鎮路200號",="0.12",="0.37",="218",="0.00080",="0.72",="0.25",="<5",="<1",="107",="7.9",="11.3",="41.1",="ND",="ND",="131",="0.07",="ND",="6",="<1",="0.0250",="ND",="ND",="ND",="0.00101",="ND",="0.00134",="0.00034",="ND",="ND",="0.0169",="0.00016",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0262",="<0.001",="Y",
="烏山頭淨水場(Wushantou)台南市官田區嘉南里68號",="0.18",="0.42",="198",="0.00041",="0.81",="0.35",="<5",="<1",="118",="7.7",="7.0",="39.3",="0.01",="ND",="127",="0.05",="ND",="<1",="<1",="0.0165",="0.00068",="ND",="ND",="0.00074",="ND",="0.00078",="0.00055",="ND",="ND",="0.0138",="0.00013",="ND",="ND",="ND",="ND",="0.00033",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.119",="0.002",="Y",
="潭頂淨水場(Tanting)台南市新市區潭頂里544號",="0.19",="0.61",="241",="0.00113",="0.67",="0.40",="<5",="<1",="127",="7.8",="14.7",="48.7",="0.02",="<0.01",="160",="0.05",="ND",="<1",="<1",="0.0270",="0.00067",="ND",="ND",="0.00248",="ND",="0.00090",="0.00081",="ND",="0.00001",="0.0159",="0.00013",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.101",="<0.001",="Y",
="南化淨水場(Nanhua)台南市南化區北寮里154號",="0.20",="0.24",="224",="0.00085",="0.74",="0.25",="<5",="<1",="134",="7.7",="6.9",="49.7",="0.01",="<0.01",="152",="0.04",="ND",="<1",="<1",="0.0182",="0.00061",="ND",="ND",="0.00097",="ND",="0.00096",="0.00084",="ND",="ND",="0.0209",="0.00012",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.112",="ND",="Y",
="澄清湖淨水場(Chengching Lake)高雄市鳥松區大埤路32號",="0.08",="0.44",="306",="0.00178",="0.59",="0.15",="<5",="<1",="125",="7.6",="11.9",="110",="0.03",="ND",="146",="ND",="ND",="<1",="<1",="0.00443",="0.00060",="0.00037",="ND",="0.00274",="ND",="0.00042",="0.00095",="ND",="ND",="0.0161",="0.00024",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.189",="0.004",="Y",
="鳳山淨水場(Fongshan)高雄市小港區坪頂里天池路一號",="0.08",="0.59",="287",="0.00145",="0.63",="0.20",="<5",="<1",="102",="7.6",="5.9",="114",="0.02",="ND",="141",="ND",="ND",="<1",="<1",="0.00593",="0.00076",="0.00045",="0.00011",="0.00143",="ND",="0.00068",="0.00137",="ND",="ND",="0.0134",="0.00029",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.155",="0.001",="Y",
="坪頂淨水場(Pinding)高雄市大樹區小坪里小坪路128號",="0.09",="0.50",="340",="0.00093",="0.73",="0.50",="<5",="<1",="140",="7.6",="14.7",="101",="0.03",="ND",="227",="ND",="ND",="<1",="<1",="0.0180",="0.00033",="0.00037",="ND",="ND",="ND",="0.00040",="0.00078",="ND",="ND",="0.0239",="0.00024",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.126",="ND",="Y",
="拷潭淨水場(Kaotan)高雄市大寮區仁德路12號",="0.08",="0.37",="212",="0.00099",="0.71",="0.20",="<5",="<1",="99.5",="7.1",="10.5",="47.2",="ND",="ND",="135",="ND",="ND",="<1",="<1",="0.0143",="0.00028",="0.00021",="ND",="0.00330",="ND",="0.00093",="0.00123",="ND",="0.00002",="0.0239",="0.00007",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0351",="ND",="Y",
="甲仙淨水場(Chiahsien)高雄市甲仙區和安里竹山巷19-1號",="0.10",="0.29",="262",="0.00088",="0.46",="0.40",="<5",="<1",="138",="7.9",="5.0",="66.8",="0.02",="ND",="171",="ND",="ND",="<1",="<1",="0.0267",="0.00055",="ND",="ND",="0.0102",="ND",="0.00170",="0.00073",="0.00191",="ND",="0.0228",="0.00017",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.115",="<0.001",="Y",
="六龜淨水場(Liouguei)高雄市六龜區文武里河邊巷77號",="0.09",="0.24",="266",="0.00077",="0.59",="0.25",="<5",="<1",="128",="7.9",="3.8",="89.8",="ND",="ND",="196",="ND",="ND",="<1",="<1",="0.00529",="0.00037",="0.00045",="ND",="0.00393",="ND",="0.00178",="0.00057",="ND",="ND",="0.0205",="0.00030",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0944",="<0.001",="Y",
="牡丹淨水場(Moodan)屏東縣牡丹鄉石門村石門路35之2號",="0.10",="0.22",="156",="0.00133",="0.72",="0.30",="<5",="<1",="108",="7.7",="11.9",="15.8",="0.03",="ND",="115",="ND",="ND",="<1",="<1",="0.0195",="0.00037",="0.00027",="ND",="0.00136",="ND",="0.00062",="0.00101",="ND",="ND",="0.00704",="0.00009",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.147",="<0.001",="Y",
="屏東淨水場(Pingtong)屏東市林森路6號",="0.08",="1.54",="286",="0.00170",="0.52",="0.35",="<5",="<1",="162",="7.9",="4.9",="55.9",="ND",="ND",="190",="ND",="ND",="<1",="<1",="0.00219",="0.00041",="0.00052",="ND",="0.00187",="ND",="0.00102",="0.00077",="ND",="ND",="0.00901",="0.00005",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0114",="<0.001",="Y",
="深溝淨水場(Shengou)宜蘭縣員山鄉員山路2段236號",="0.08",="0.81",="138",="0.00025",="0.48",="0.25",="<5",="<1",="73.3",="7.3",="4.1",="22.5",="ND",="<0.01",="79.8",="ND",="ND",="<1",="<1",="0.00188",="ND",="ND",="ND",="0.00478",="ND",="0.00258",="0.00145",="ND",="ND",="0.00148",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0191",="ND",="Y",
="廣興淨水場(Kuanhsin)宜蘭縣冬山鄉廣興路63號",="0.07",="0.90",="199",="0.00032",="0.46",="0.15",="<5",="<1",="104",="7.0",="4.2",="38.2",="ND",="<0.01",="125",="ND",="ND",="11",="<1",="0.00095",="ND",="ND",="ND",="ND",="ND",="0.00305",="0.00137",="ND",="ND",="0.00147",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0244",="ND",="Y",
="蘇澳淨水場(Shuao)宜蘭縣蘇澳鎮光明路5號",="0.07",="0.96",="159",="0.00091",="0.52",="0.15",="<5",="<1",="94.9",="6.8",="14.9",="22.1",="ND",="<0.01",="110",="ND",="ND",="<1",="<1",="ND",="ND",="0.00101",="ND",="0.00801",="ND",="0.00088",="0.00117",="ND",="ND",="0.00654",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0147",="ND",="Y",
="砂婆礑淨水場(Sapotang)花蓮縣秀林鄉水源村金嵐路2之1號",="0.02",="0.38",="131",="0.00124",="0.46",="0.20",="<5",="<1",="81.3",="8.1",="2.9",="12.4",="ND",="ND",="92.3",="0.04",="ND",="10",="<1",="0.00185",="0.00149",="0.00028",="ND",="0.00560",="ND",="0.00777",="0.00052",="ND",="ND",="0.0250",="0.00008",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0530",="ND",="Y",
="鳳林淨水場(Fonglin)花蓮縣鳳林鎮水源路136號",="0.03",="0.32",="101",="0.00044",="0.43",="0.20",="<5",="<1",="47.3",="7.8",="4.5",="9.1",="ND",="ND",="50.8",="ND",="ND",="11",="<1",="0.00152",="0.00064",="ND",="0.00014",="0.00227",="0.00003",="0.00101",="ND",="ND",="ND",="0.00206",="0.00003",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0118",="ND",="Y",
="玉里淨水場(Yuli)花蓮縣玉里鎮玉里段152，217地號內",="0.07",="0.78",="192",="0.00098",="0.43",="0.20",="<5",="<1",="106",="7.5",="3.2",="26.7",="ND",="ND",="126",="0.04",="ND",="1",="<1",="ND",="0.00118",="0.00035",="ND",="0.00626",="0.00002",="0.00335",="0.00115",="0.00120",="0.00002",="0.00272",="0.00007",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0155",="ND",="Y",
="壽豐淨水場(Shoufeng)花蓮縣壽豐鄉豐裡村中山路151號",="0.03",="0.54",="152",="0.00130",="0.43",="0.15",="<5",="<1",="106",="7.7",="4.6",="10.6",="ND",="ND",="112",="ND",="ND",="6",="<1",="0.00146",="0.00047",="0.00032",="ND",="0.00159",="ND",="0.00117",="0.00123",="0.00102",="ND",="0.0165",="0.00007",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0125",="ND",="Y",
="利嘉淨水場(Leichia)台東縣卑南鄉利嘉路575號",="0.07",="0.29",="280",="0.00063",="0.55",="0.25",="<5",="<1",="109",="7.9",="6.7",="82.7",="ND",="ND",="205",="ND",="ND",="<1",="<1",="ND",="ND",="0.00373",="ND",="0.0212",="ND",="ND",="0.00121",="0.00291",="0.00023",="0.00433",="0.00018",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0644",="ND",="Y",
="成功淨水場(Chengkung)台東縣成功鎮高台路60號",="0.09",="0.54",="176",="0.00080",="0.73",="0.40",="<5",="<1",="92.0",="7.6",="27.8",="20.1",="ND",="ND",="77.6",="0.08",="ND",="<1",="<1",="0.00721",="ND",="0.00324",="ND",="0.00790",="ND",="ND",="0.00184",="ND",="0.00028",="0.00136",="0.00013",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0616",="ND",="Y",
="正興淨水場(Chenghsin)台東縣金峰鄉正興村90號",="0.09",="1.14",="256",="0.00059",="0.47",="0.30",="<5",="<1",="122",="7.3",="8.9",="47.6",="ND",="ND",="188",="0.02",="ND",="<1",="<1",="0.00151",="ND",="ND",="ND",="ND",="ND",="0.00208",="ND",="ND",="0.00062",="0.00513",="0.00030",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0137",="ND",="Y",
="馬公(Magong)澎湖縣馬公市烏崁里306號",="0.02",="0.06",="331",="0.00055",="0.67",="0.20",="<5",="<1",="34.9",="8.2",="144",="23.3",="0.02",="ND",="35.4",="ND",="ND",="<1",="<1",="0.00115",="0.00450",="ND",="ND",="0.00153",="ND",="ND",="0.00182",="ND",="0.00003",="ND",="0.00002",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0215",="0.001",="Y",
="集集淨水場(Jiji)南投縣集集鎮吳厝里水源巷1號",="0.13",="0.42",="268",="0.00075",="0.47",="0.40",="<5",="<1",="128",="8.1",="2.3",="90.5",="ND",="ND",="192",="ND",="ND",="3",="<1",="0.00391",="ND",="ND",="ND",="ND",="ND",="0.00124",="0.00233",="ND",="ND",="0.00533",="0.00015",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.133",="ND",="Y",
