"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
"83","04576189","華信彩色印製企業有限公司","新北市板橋區中山路2段531巷44號","洪素卿","500000","1050215"
"84","04592511","協利起重有限公司","臺北市萬華區萬大路534巷31號1樓","陳林雪珠","7000000","1050216"
"85","04613157","瑞青企業股份有限公司","新北市石碇區靜安路1段97號","王青玟","84000000","1050218"
"86","04631232","恆進企業股份有限公司","臺北市中山區南京東路1段138號7樓","陳瑞文","20000000","1050225"
"87","04636237","申虎實業有限公司","臺北市士林區忠誠路2段140巷32號1樓","呂忠信","2000000","1050203"
"88","04639781","寬鑫有限公司","臺北市大安區羅斯福路3段227號7樓","秦坦寬","10000000","1050225"
"89","04673350","昭富實業股份有限公司","臺北市中山區建國北路2段90號5樓","李昭卿","120000000","1050201"
"90","04685530","綠洲化學工業有限公司","宜蘭縣蘇澳鎮龍德里德興八路11號","劉志猷","28900000","1050205"
"91","04691569","住安建築股份有限公司","臺北市大安區敦化南路2段38號8樓","胡永吉","10000000","1050205"
"92","04694382","臺灣大農企業股份有限公司","桃園市楊梅區青山里獅五路2之1號","祁中蘭","10000000","1050217"
"93","04727095","誼欣國際有限公司","臺北市內湖區大湖街158巷2-1號","湛曜華","5000000","1050225"
"94","04738240","坤悅開發股份有限公司","臺中市西屯區文心路2段201號15樓之1","陳世坤","1485000000","1050203"
"95","04758174","進丁企業有限公司","臺北市大同區民生西路323號9樓之5","林進丁","15000000","1050201"
"96","04758673","成鉅實業有限公司","臺北市中山區龍江路38巷4號3樓","江昌東","5000000","1050223"
"97","04768362","忠泰毛刷股份有限公司","臺北市內湖區安康路148號","劉方絹","10000000","1050226"
"98","04774929","隆山元工業股份有限公司","新竹縣湖口鄉鳳山村復興路38號","鄭克勝","80000000","1050203"
"99","04780160","多億實業股份有限公司","臺北市南港區忠孝東路6段267號1樓","李美娥","5000000","1050204"
"100","04799766","創昇股份有限公司","基隆市七堵區大成街49-4號","郭明彰","15000000","1050217"
"101","04880962","盛通實業股份有限公司","桃園市觀音區中山路一段350號","張傑程","5000000","1050219"
"102","04945557","台合通運股份有限公司","高雄市大社區保社里中正路552號","關濟生","30000000","1050203"
"103","04956982","昇新製衣股份有限公司","臺北市大安區仁愛路4段25之2號8樓","牛惠臨","60000000","1050205"
"104","04960944","昇遠實業有限公司","新北市五股區五權三路22號","林秀鳳","10000000","1050215"
"105","04974721","柚佳企業股份有限公司","高雄市三民區信國路14號15樓","黃威迪","25000000","1050223"
"106","04980391","同新工程股份有限公司","臺北市信義區信義路4段375號4樓之5","蔡沛儒","5000000","1050204"
"107","05006257","富國技術工程股份有限公司","臺北市松山區南京東路4段50號6樓之2","俞清瀚","12052030","1050226"
"108","05013285","寬欣有限公司","臺北市中正區羅斯福路3段227號7樓","楊美麗","6000000","1050225"
"109","05017677","歐馳有限公司","臺北市松山區南京東路4段197號5樓之2","鍾華益","12000000","1050225"
"110","05018893","遠景出版事業有限公司","新北市板橋區懷德街187之2號","葉麗晴","2500000","1050205"
"111","05052033","穩得實業股份有限公司","新北市新店區寶橋路188號6樓及6樓之1","高治宏","110000000","1050219"
"112","05053151","冠加科技股份有限公司","桃園市中壢區復興里自強一路11之1號","周智慧","475000000","1050217"
"113","05058233","前都實業有限公司","臺北市大同區重慶北路3段252巷20號","郭榮煌","1000000","1050205"
"114","05065749","台灣奧黛莉股份有限公司","臺北市大同區長安西路342號5樓","陳宗雅","390000000","1050201"
"115","05077870","正聲廣播股份有限公司","臺北市中正區重慶南路1段66之1號7樓","劉本善","196881300","1050215"
"116","05084204","懷德保險代理人股份有限公司","臺北市中正區忠孝西路1段41號5樓之7","許盧惠華","28000000","1050215"
"117","05094603","德勝科技股份有限公司","臺北市南港區南港路3段50巷21號5樓","林坤銘","517135320","1050224"
"118","05147030","士林開發股份有限公司","臺北市士林區中山北路6段90號8樓","李昌霖","1063790900","1050201"
"119","05165374","銘晉實業股份有限公司","臺北市大安區安和路2段80號13樓之2","劉復銘","5000000","1050203"
"120","05167485","實鴻營造有限公司","新北市三重區重陽路4段132號6樓","鄭湘怡","100000000","1050225"
"121","05196545","京彥企業有限公司","臺北市中正區寧波西街81號2樓","陳哲世","7000000","1050223"
"122","05379376","英升企業股份有限公司","臺中市潭子區家福里頭張路二段1號","林煥卿","82000000","1050224"
"123","05407485","勝順機器有限公司","新北市土城區福安街77號","葉東和","29000000","1050223"
"124","05502018","大壬實業股份有限公司","臺中市南區忠明南路787號22樓","陳映彰","25000000","1050205"
"125","05595389","向弘興業股份有限公司","臺中市西區五權西路一段237號14樓之2","吳景弘","25000000","1050223"
"126","05598528","薪興彩色印刷股份有限公司","臺中市西屯區何德里寧漢一街7號","李和興","5000000","1050202"
"127","05626003","百岳國際股份有限公司","臺北市中山區新生北路3段7號12樓之2","董冠伯","5000000","1050202"
"128","05636157","緯揚文化事業有限公司","臺北市中山區民生東路1段51號5樓之1","耿淑賢","1500000","1050205"
"129","05637944","震大打字印刷有限公司","臺北市中正區南昌路1段51巷7號1樓","胡情娥","5000000","1050216"
"130","05640434","皓上企業有限公司","新北市新莊區思源路23號10樓","林永銘","25000000","1050217"
"131","05692093","順灃工業股份有限公司","臺中市豐原區北陽里中陽路251號","張鴻基","5000000","1050216"
"132","05699785","永年發機械工業有限公司","臺中市豐原區頂街里中正路81號","張吉男","5000000","1050224"
"133","05708861","麥威宴會服務有限公司","新北市中和區永和路207之1號","呂美成","2000000","1050222"
"134","05797441","洲盟企業股份有限公司","臺中市梧棲區草湳里梧南路20之1號","童水順","18000000","1050225"
"135","05838891","金咏順企業有限公司","臺中市太平區德隆里華安街100巷30號","楊正淵","5000000","1050226"
"136","05941001","彰信實業股份有限公司","彰化縣伸港鄉七嘉村中華路599巷146之1號","王秀陸","19240000","1050204"
"137","06006059","鋒美實業股份有限公司","彰化縣田尾鄉饒平村公所路44號","蘇信嘉","1000000","1050219"
"138","06371838","吉鈴企業有限公司","臺南市東區東門路三段37巷27號","葉伶華","5000000","1050205"
"139","06379888","禾群有限公司","臺南市南區建南里興隆路68號1樓","李傅容","4500000","1050218"
"140","06586710","巨鋼企業股份有限公司","臺南市永康區尚頂里中正南路381巷2-1號","洪海明","20000000","1050226"
"141","06724045","景寶化粧合板有限公司","高雄市鼓山區大順一路127號","鄭城印","6000000","1050217"
"142","07284306","南信股份有限公司","臺北市大同區迪化街1段9號","陳輝雄","80000000","1050215"
"143","07339724","通元實業有限公司","臺北市大安區敦化南路2段63巷56號3樓","陳因德","10000000","1050226"
"144","07419418","勝豐機電有限公司","臺北市士林區通河西街2段232之6號3樓","鄭清傑","5500000","1050219"
"145","07515003","福隆興業股份有限公司","桃園市龜山區大同里大同路266號","莊麗君","19000000","1050205"
"146","07554928","翰泰國際股份有限公司","臺北市中山區伊通街8號1樓","黃博駿","5000000","1050226"
"147","07609705","大欣汽車貨運股份有限公司","新北市林口區忠孝路533號","張永欽","25000000","1050203"
"148","07619041","義新企業股份有限公司","臺北市大同區西寧北路62之5號6樓","許陳彩玉","25000000","1050222"
"149","07634872","福埠實業股份有限公司","臺北市松山區民生東路5段224之1號","吳明亮","28000000","1050203"
"150","07642704","暢達汽車運輸股份有限公司","基隆市安樂區樂利三街75號13樓","楊常榮","36000000","1050222"
"151","07660250","統屋機械股份有限公司","臺北市大同區貴德街36巷2號","吳文彬","12000000","1050223"
"152","07660511","王商實業股份有限公司","臺北市大同區承德路3段14號1樓","蕭惠文","1000000","1050201"
"153","07682557","小人國企業股份有限公司","桃園市龍潭區高原里7鄰高原路891號","朱鍾宏","230000000","1050222"
"154","07719479","華旗飲水機有限公司","臺北市大同區承德路3段157號1樓","黃宏憲","5000000","1050201"
"155","07733774","奕華五金股份有限公司","臺北市中山區新生北路1段64號1樓","陳昭雄","40000000","1050219"
"156","08121837","花蓮縣肉品市場股份有限公司","花蓮縣鳳林鎮林榮路338號","蔡運煌","3000000","1050215"
"157","09406847","長澤工程有限公司","臺北市信義區忠孝東路5段1之1號11樓","曾淵岳","12000000","1050226"
"158","09413621","長江通運有限公司","新北市林口區文化二路1段565號12樓","曾毓慈","50000000","1050203"
"159","09423873","奇尚股份有限公司","桃園市蘆竹區羊稠里中山路70-11號","吳明秀","1000000","1050226"
"160","09424319","藍天電腦股份有限公司","新北市三重區興德路129號","許崑泰","6831630000","1050217"
"161","09427391","台灣路威股份有限公司","臺北市信義區松仁路32號12樓之1、36號12樓之1","徐偉華(Michael SCHRIVER)","100000000","1050225"
"162","09427961","椰如有限公司","臺北市大安區安和路1段116號1樓","孫祥鄭","15000000","1050223"
"163","09435673","開懋股份有限公司","彰化縣花壇鄉文德村溪南街195號","郭念民","10000000","1050223"
"164","09441366","光聯興業股份有限公司","桃園市楊梅區高榮里電研路190巷108號","黃岳盟","105000000","1050215"
"165","09446664","點將股份有限公司","臺北市松山區民生東路4段133號10樓","陳澤杉","12000000","1050226"
"166","09459267","大樹針車有限公司","新北市林口區南勢街196號","侯國壐","5000000","1050224"
"167","09467442","兜兜投資股份有限公司","臺北市大安區復興南路1段322號11樓","謝文郁","50000000","1050205"
"168","09485716","格蘭顧問有限公司","臺北市大安區忠孝東路3段98之1號4樓","蘇起銓","5000000","1050224"
"169","09486399","德商雷曼特股份有限公司","臺北市大安區忠孝東路4段270號17樓","宋心謀","1000000","1050225"
"170","11007515","七巧通運股份有限公司","臺北市中山區建國北路2段147之2號","脇田茂","20500000","1050222"
"171","11015682","台灣椿本股份有限公司","桃園市龜山區自強北路17巷33號","橋野道也","70000000","1050224"
"172","11018766","大偉電工廠股份有限公司","新北市土城區自強街10號1樓","林偉堯","11000000","1050201"
"173","11018771","大衆建設企業有限公司","臺北市松山區五常街370號1樓","熊保源","28000000","1050222"
"174","11020875","三湖貿易有限公司","臺北市中山區復興北路164號7樓","張上典","15000000","1050217"
"175","11049705","山記實業股份有限公司","臺北市內湖區瑞光路66巷30號1、2樓","潘隆順","100000000","1050225"
"176","11088586","元佑實業有限公司","臺北市內湖區陽光街365巷37號5樓","郭耿亮","30000000","1050205"
"177","11097001","中外旅行社有限公司","臺北市松山區復興北路1號16樓","黃原聰","10000000","1050222"
"178","11104755","友聯車材製造股份有限公司","苗栗縣三義鄉西湖村伯公坑40-10號","姚振祥","868892200","1050203"
"179","11121403","中美聯合實業股份有限公司","臺北市大安區敦化南路2段76號12樓","高大守","2250000000","1050216"
"180","11173112","永欣煤氣有限公司","臺北市中山區安東街18號︹之12︺1樓","王許淑敏","3000000","1050203"
"181","11237925","西北傳播有限公司","臺北市中山區松江路87號10樓之1","段江美惠","8000000","1050224"
"182","11307506","利通貿易股份有限公司","臺北市松山區南京東路4段133巷7弄26號2樓","洪富美","6000000","1050223"
"183","11337775","長榮海運股份有限公司","臺北市中山區民生東路2段166號1至4樓","張正鏞","35123559860","1050217"
"184","11364230","欣欣大眾巿場股份有限公司","臺北市中山區林森北路247號及新生北路2段28巷1號地下1號、1之1號、1號2樓","吳有明","730432830","1050202"
"185","11367406","泛亞工程建設股份有限公司","臺北市大安區忠孝東路4段219號7F、忠孝東路4段221號7F","郭建忠","1144417230","1050217"
"186","11394902","佳能企業股份有限公司","新北市五股區五權路7巷8號5樓","曾明仁","2826777450","1050223"
"187","11396606","金泰山實業股份有限公司","臺北市內湖區新明路174巷14號","江乃正","20000000","1050215"
"188","11437206","東鋅股份有限公司","臺北市大同區太原路73號10樓","葉牡丹","30000000","1050219"
"189","11456006","南山人壽保險股份有限公司","臺北市信義區莊敬路168號","杜英宗","100425795320","1050203"
"190","11457069","盈泉水電工程股份有限公司","臺北市中山區南京東路2段174號11樓","林美蘭","52000000","1050224"
"191","11633903","國際專利中心股份有限公司","臺北市中山區松江路506號7樓之1","陳昭仁","1000000","1050203"
"192","11652077","華珍企業有限公司","臺北市士林區福港街107巷17號1樓","張晉嘉","10000000","1050224"
"193","11731284","新高油品股份有限公司","臺北市中山區松江路129號7樓之2","楊基瑞","45100000","1050218"
"194","11823262","博世力士樂股份有限公司","新北市土城區土城工業區自強街1號","陳明思(Michael Zens)","124185600","1050217"
"195","11827730","墘龍營造有限公司","桃園市平鎮區新榮里25鄰新德街251號5樓","陳盛宗","15000000","1050226"
"196","11832971","台灣德信海空運承攬股份有限公司","臺北市中山區南京東路3段219號4樓","西門飛雪(Fich Simon Brorson)","20000000","1050215"
"197","11912601","輝瑞生技股份有限公司","新北市淡水區中正東路2段177號","侯順治","620000000","1050217"
"198","11913502","臺灣水泥股份有限公司","臺北市中山區中山北路2段113號","辜成允","36921758690","1050219"
"199","11921405","台灣中國旅行社股份有限公司","臺北市中山區林森北路54號1樓","周慶雄","389432690","1050204"
"200","12101539","利展企業有限公司","臺北市中山區吉林路279號6樓","何錫賢","5000000","1050223"
"201","12109997","海達實業有限公司","臺北市中山區長安東路1段16號10樓之8","王達夫","5000000","1050204"
