項次,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,,
檢驗項目,自由有效餘氯(Free Chlorine Residual),濁度(Turbidity),色度(Color),臭度(Odor),總鹼度(Total Alkalinity),pH值(pH ),氯鹽(Chloride),硫酸鹽(Sulfate),氨氮(Ammonia),亞硝酸鹽氮(Nitrite),硝酸鹽氮(Nitrate),總溶解固體量(Total Dissolved Solids),氟鹽(Fluoride),總硬度(Total Hardness),鐵(Iron),錳(Manganese),總菌落數(Total Bacterial Count),大腸桿菌群(Coliform Group),總三鹵甲烷(Total Trihalomethanes),鉛(Lead),硒(Selenium),砷(Arsenic),汞(Mercury),鋅(Zinc),銀(Silver),銅(Copper),鉻(Chromium),鎳(Nickel),鎘(Cadmium),鋇(Barium),銻(Antimony),陰離子界面活性劑(Anionic Surfactants),靈丹(Lindane),安殺番(Endosulfan),巴拉刈(Paraquat),大利松(Diazinon),巴拉松(Parathion),一品松(EPN),氰鹽(Cyanate),酚(Phenols),達馬松(Methamidophos),丁基拉草(Butachlor),2，4-地(2，4-D),納乃得(Methomyl),滅必蝨(MIPC(Isoprocarb)),加保扶(Carbofuran),亞素靈(Monocrotophos),鋁(Aluminium),溴酸鹽(Bromate),水質合格否(Y/N),
飲用水水質標準,0.2-1.0,2,5,3,－－,6.0-8.5,250,250,0.1,0.1,10.0,500,0.8,300,0.3,0.05,100,6,0.08,0.01,0.01,0.01,0.002,5.0,0.05,1.0,0.05,0.1,0.005,2.0,0.01,0.5,0.0002,0.003,0.01,0.005,0.02,0.005,0.05,0.001,0.02,0.02,0.07,0.01,0.02,0.02,0.003,0.3,0.01,－－,
單位,mg/L,NTU,鉑鈷單位,初嗅數,mg/L,－－,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,CFU/mL,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,－－,
="霧峰淨水場(Wufong)台中市霧峰區民生路99巷7號",="0.44",="0.20",="<5",="<1",="183",="7.2",="12.1",="50.6",="ND",="ND",="1.42",="306",="0.14",="144",="ND",="ND",="<1",="<1",="ND",="ND",="ND",="0.00060",="ND",="0.00970",="ND",="0.00250",="ND",="ND",="ND",="0.0174",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="－－",="－－",="－－",="ND",="0.0115",="ND",="Y",
="大安淨水場(Daan)台中市大安區中山南路680號",="0.56",="0.40",="<5",="<1",="114",="7.1",="8.0",="61.2",="ND",="ND",="1.32",="239",="0.10",="163",="ND",="ND",="2",="<1",="ND",="ND",="ND",="0.00048",="ND",="ND",="ND",="ND",="ND",="0.00077",="ND",="0.00617",="ND",="ND",="ND",="ND",="ND",="0.00038",="ND",="ND",="ND",="ND",="ND",="ND",="－－",="－－",="－－",="－－",="ND",="0.0704",="ND",="Y",
="彰化第三淨水場(Changhua Third)彰化縣和美鎮水源路750號",="0.60",="0.15",="<5",="<1",="210",="7.6",="42.5",="101",="ND",="ND",="0.08",="471",="0.11",="273",="ND",="ND",="<1",="<1",="0.00797",="ND",="ND",="0.00141",="ND",="ND",="ND",="0.00198",="0.00140",="0.00140",="0.00031",="0.0188",="0.00018",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="－－",="ND",="ND",="ND",="ND",="0.0331",="ND",="Y",
="員林第二淨水場(Yuanlin Second)彰化縣員林鎮南平里靜修路74-21號",="0.45",="0.30",="<5",="<1",="162",="8.0",="6.4",="39.3",="ND",="ND",="0.04",="190",="0.17",="139",="0.03",="ND",="3",="<1",="0.00036",="ND",="ND",="0.00209",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0131",="0.00027",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="－－",="ND",="ND",="ND",="ND",="0.00594",="ND",="Y",
="埤仔頭淨水場(Pizitou)雲林縣斗六市重光里榮譽路915號",="0.48",="0.25",="<5",="<1",="116",="6.9",="9.9",="83.8",="ND",="ND",="5.24",="334",="0.12",="200",="0.08",="ND",="<1",="<1",="0.00331",="0.00028",="0.00036",="0.00122",="ND",="0.00674",="ND",="0.00346",="0.00115",="ND",="0.00002",="0.00844",="0.00014",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0459",="<0.001",="Y",
="林內淨水場(Linnei)雲林縣林內鄉烏麻村長源180號",="0.59",="0.20",="<5",="<1",="128",="7.9",="7.1",="93.1",="ND",="ND",="0.58",="315",="0.12",="204",="0.06",="ND",="<1",="<1",="0.00405",="ND",="0.00047",="0.00127",="ND",="0.00358",="ND",="0.00177",="0.00145",="0.00082",="0.00001",="0.00654",="0.00027",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0408",="<0.001",="Y",
="蘭潭淨水場(Lantan)嘉義市小雅路53號",="0.72",="0.40",="<5",="<1",="132",="8.1",="8.9",="65.3",="ND",="ND",="0.25",="270",="0.13",="155",="0.09",="ND",="1",="<1",="0.0277",="ND",="0.00019",="0.00105",="ND",="0.00228",="ND",="0.00124",="ND",="ND",="ND",="0.0186",="0.00015",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0319",="<0.001",="Y",
="公園淨水場(Gonyuan)嘉義市民權東路46號",="0.73",="0.20",="<5",="<1",="132",="7.9",="12.0",="68.6",="ND",="ND",="0.37",="287",="0.13",="163",="0.08",="ND",="2",="<1",="0.0212",="ND",="ND",="0.00053",="ND",="0.00206",="ND",="0.00173",="0.00032",="ND",="ND",="0.0200",="0.00017",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="<0.001",="Y",
="水上淨水場(Shueishang)嘉義縣水上鄉龍德村三鎮路200號",="0.73",="0.30",="<5",="<1",="103",="7.9",="12.6",="40.8",="ND",="ND",="0.40",="215",="0.13",="131",="0.08",="ND",="8",="<1",="0.0222",="ND",="ND",="0.00080",="ND",="0.00101",="ND",="0.00134",="0.00034",="ND",="ND",="0.0169",="0.00016",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0236",="<0.001",="Y",
="烏山頭淨水場(Wushantou)台南市官田區嘉南里68號",="0.81",="0.35",="<5",="<1",="111",="7.7",="7.1",="38.4",="0.01",="ND",="0.49",="194",="0.18",="122",="0.06",="ND",="<1",="<1",="0.0141",="0.00066",="ND",="0.00045",="ND",="ND",="ND",="0.00081",="0.00081",="ND",="ND",="0.0112",="0.00014",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.112",="<0.001",="Y",
