區域,量測點,平均下載速率註,平均上傳速率註,階段
崙背鄉,悠紙生活館大門口,5.29,1.34,一
麥寮鄉,麥寮鄉公所大門口,3.98,0.88,一
麥寮鄉,光大寮聚寶宮前廣場,3.58,1.2,一
麥寮鄉,拱範宮廟前廣場,6.58,1.46,一
莿桐鄉,莿桐鄉公所大門口,6.72,1.48,一
莿桐鄉,孩沙里花海,3.78,1.11,一
莿桐鄉,福天宮前廣場,3.61,1.08,一
臺西鄉,台西鄉公所大門口,4.1,1.21,一
臺西鄉,台西安西府廟前廣場,5.54,1.36,一
臺西鄉,臺西村安海宮前廣場,6.95,1.52,一
褒忠鄉,褒忠鄉公所大門口,3.85,1.1,一
褒忠鄉,柯家古厝大門口,5.11,1.39,一
褒忠鄉,埔姜崙老街,4.46,1.34,一
,(派出所前),,,
屏東縣,,,,
九如鄉,九如鄉公所大門口,3.2,1.1,一
九如鄉,三山國王廟前廣場,3.91,0.97,一
九如鄉,耆老村錦鯉水溝旁,3.8,0.89,一
三地門鄉,三地門鄉公所大門口,2.94,1.2,一
三地門鄉,德文風景區,4.72,0.69,一
,(大榕樹涼亭),,,
三地門鄉,賽嘉樂園大門口,5.03,1.3,一
竹田鄉,竹田火車站售票處,4.46,1.38,一
竹田鄉,竹田鄉公所大門口,4.74,1.41,一
竹田鄉,竹田驛站,6.61,1.46,一
牡丹鄉,牡丹鄉公所大門口,4.57,0.76,一
牡丹鄉,牡丹水庫停車場,7.19,1.33,一
牡丹鄉,哭泣湖畔,6.01,0.82,一
里港鄉,里港鄉公所大門口,6.02,1.41,一
里港鄉,里港河堤公園涼亭,6.23,1.35,一
里港鄉,趙壽山餛飩豬腳大門口,6.74,1.41,一
來義鄉,來義鄉公所大門口,6.62,0.96,一
來義鄉,丹林吊橋,5.68,1.21,一
來義鄉,來義完全中學大門口,8.69,1.46,一
東港鎮,東港鎮公所大門口,9.7,1.46,一
東港鎮,大鵬灣風景區管理處,9.58,1.42,一
東港鎮,跨海大橋青洲遊憩區大門口,2.34,1.32,一
枋山鄉,加祿火車站大廳,4.61,1.25,一
枋山鄉,H會館停車場,6.38,1.29,一
枋山鄉,枋山濱海遊憩區7-11,5.99,1.38,一
枋寮鄉,枋寮火車站大廳,5.96,1.35,一
枋寮鄉,枋寮客運轉運站,6.99,1.36,一
枋寮鄉,枋寮漁港魚市場,4.62,1.32,一
南州鄉,南州代天府廟前廣場,3.72,1.3,一
南州鄉,南州運動公園大門口,8.12,1.42,一
