區域,量測點,平均下載速率註,平均上傳速率註,階段
東石鄉,東石漁人碼頭(藝術船),8.37,1.01,二
東石鄉,東石漁港(漁市場停車場),5.07,0.97,二
東石鄉,港口宮廟前,5.9,1.33,二
東石鄉,福靈宮正門前,8.64,1.4,二
阿里山鄉,沼平車站櫻花老街,5.97,1.29,二
阿里山鄉,阿里山旅客服務中心,8.15,1.46,二
阿里山鄉,阿里山國家森林遊樂區入口處,8.16,1.3,二
梅山鄉,玉虛宮,6.48,1.12,二
梅山鄉,梅山公園,7.79,1.45,二
梅山鄉,梅山鄉公所,6.67,1.49,二
梅山鄉,梅山鄉瑞里村警光山莊,5.43,1.36,二
梅山鄉,農村文化館,6.19,1.31,二
鹿草鄉,中寮城隍廟停車場,3.46,0.99,二
鹿草鄉,鹿仔草民俗文化學堂大門口,5.09,1.36,二
鹿草鄉,鹿草鄉公所大門口,6.61,1.29,二
鹿草鄉,雲龍宮廟前廣場,4.17,1.33,二
鹿草鄉,圓山宮廟前廣場,2.25,0.81,二
番路鄉,仁義潭,7.87,1.13,二
番路鄉,半天岩紫雲寺,10.3,1.39,二
番路鄉,番路鄉公所,8.55,1.24,二
番路鄉,童年渡假村,6.54,1.4,二
番路鄉,觸口地久吊橋,9.85,1.35,二
新港鄉,板頭村板陶窯工藝園區,6.96,1.4,二
新港鄉,香藝文化園區停車場,4.92,1.28,二
新港鄉,新港老街(大興路上),7.94,1.38,二
新港鄉,新港奉天宮廟前,9.69,1.23,二
新港鄉,新港鄉公所大門口,7.33,1.28,二
溪口鄉,天宋宮(戲臺前),6.12,1.38,二
溪口鄉,文化生活館(招牌前),10.24,1.34,二
溪口鄉,玄天上帝廟(公布欄),7.2,1.3,二
溪口鄉,開元殿(石獅子旁),2.85,1.1,二
溪口鄉,溪口鄉公所(籃球場),5.62,1.31,二
義竹鄉,中正堂大門口,7.67,1.47,二
義竹鄉,義竹工業區服務站,6.53,1.29,二
義竹鄉,義竹車站(馨滿義竹),5.92,1.36,二
義竹鄉,義竹鄉公所大門口,7.89,1.26,二
台南市,,,,
七股區,七股區公所大門口,4.72,1.48,二
七股區,七股鹽山入口處,7.26,1.52,二
七股區,六孔碼頭,5.86,1.39,二
七股區,台江國家公園六孔管理站停車場,8.8,1.38,二
七股區,黑面琵鷺生態展示館,9.26,1.07,二
下營區,下營區公所,10.44,1.49,二
下營區,大屯保安宮,5.44,1.4,二
下營區,北極殿上帝廟,6.03,1.38,二
下營區,武承恩公園,4.83,1.44,二
下營區,產業文化館,4.86,1.48,二
大內區,大內天文台,7.56,1.34,二
大內區,大內區公所,5.01,1.33,二
大內區,走馬瀨農場,10.94,1.46,二
大內區,果菜批發市場,6.76,1.14,二
大內區,南寶高爾夫球場,4.55,0.9,二
山上區,山上工業區,3.75,0.93,二
山上區,山上天后宮,7.05,1.14,二
山上區,山上長老教會,5.82,1.34,二
山上區,山上區公所,6.52,1.22,二
山上區,山上朝天宮,4.85,1.01,二
中西區,小西門商圈,2.95,1.26,二
中西區,孔廟,5.4,1.36,二
中西區,赤崁樓,9.58,1.47,二
中西區,南方公園市集,7.3,1.28,二
中西區,新光三越中山店,4.59,1.03,二
仁德區,仁德區公所,5.18,1.42,二
仁德區,台南家具產業博物館,5.82,1.34,二
仁德區,台糖嘉年華購物中心,4.57,1.37,二
仁德區,保安火車站,9.04,1.21,二
仁德區,家樂福仁德店,4.46,1.46,二
六甲區,六甲工研院停車場,6.3,1.28,二
六甲區,六甲區公所大門口,5.43,1.4,二
六甲區,六甲區菜市場(建國街),4.4,1.13,二
六甲區,南元農場入口處,7.12,1.5,二
六甲區,恒安宮廟前廣場,7.59,1.43,二
北門區,北門三寮灣東隆宮廣場,2.94,0.67,二
北門區,北門南鯤鯓代天府,6.39,1.24,二
北門區,北門烏腳病紀念館,9.42,1.46,二
北門區,北門區公所門口,9.14,1.42,二
北門區,北門遊客中心,5.54,1.42,二
北區,85度c咖啡(台南北門店),5.33,1.38,二
北區,小北成功夜市,6.31,1.38,二
北區,火車站正門口,4.2,1.31,二
北區,成大醫院,4.36,1.12,二
北區,花園夜市,2.75,1.16,二
左鎮區,二寮觀日出停車場,3.14,0.77,二
左鎮區,左鎮區公所,7.74,1.48,二
左鎮區,青果市場,3.37,1.16,二
左鎮區,菜寮化石館,6.37,1.47,二
左鎮區,噶瑪噶居寺,5.66,1.41,二
永康區,永康大灣廣護宮,6.77,1.29,二
永康區,永康家樂福中正店,4.27,1.38,二
永康區,永康區公所,6.44,1.4,二
永康區,奇美醫院永康院區,4.19,1.15,二
永康區,復興彩虹眷村(榮總停車場旁路口),6.1,1.3,二
玉井區,玉井北極殿前廣場,5.78,1.4,二
玉井區,玉井芒果產業文化資訊館,8.1,1.26,二
玉井區,玉井區公所大門口,6.17,1.41,二
玉井區,虎頭山風景區停車場,2.79,1.33,二
玉井區,青果菜批發市場停車場,6.18,1.36,二
白河區,大凍山登山口,3.63,1.3,二
白河區,白河區公所大門口,4.38,1.4,二
白河區,碧雲寺廟前廣場,2.25,0.9,二
白河區,關子嶺溫泉區,8.25,1.49,二
,(警光山莊前),,,
白河區,關子嶺遊客服務中心,7.42,1.4,二
安平區,台南樹屋,8.68,1.49,二
安平區,安平古堡,5.6,1.44,二
安平區,英商德記洋行,8.49,1.5,二
安平區,億載金城,7.73,1.41,二
安平區,觀夕平台,5.07,1.24,二
安定區,六嘉鎮安宮,3.72,0.8,二
安定區,安定區公所,6.33,1.27,二
安定區,安定圖書館,9.3,1.41,二
安定區,第一代天府,4.7,1.09,二
安定區,港尾福安宮,4.42,1.36,二
安南區,台江國家公園四草大眾廟,1.56,0.33,二
安南區,台南科技工業區,4.47,1.3,二
安南區,台灣歷史博物館,3.05,1.09,二
安南區,果菜市場,3.82,1.22,二
安南區,鹿耳門聖母廟,9.32,1.48,二
西港區,全聯福利中心(中山路),5.1,1.18,二
西港區,西港區公所大門口,8.38,1.3,二
西港區,保安宮廟前廣場,4.16,0.79,二
西港區,慶安宮廟前廣場,6.86,1.41,二
西港區,舊市場中山路入口處,4.51,1.29,二
佳里區,全聯社(建南街),4.97,1.42,二
佳里區,佳里奇美醫院,6.45,1.27,二
佳里區,佳里區公所,3.56,1.13,二
佳里區,金唐殿門口,6,1.39,二
佳里區,蕭瓏文化園區,6.27,1.32,二
官田區,官田工業區,6.77,1.21,二
官田區,官田區公所,7.04,1.43,二
官田區,官田體育公園,4.37,1.33,二
官田區,烏山頭水庫,6,0.91,二
官田區,隆田車站,7.27,1.33,二
東山區,東山服務區用餐區,8.83,1.4,二
東山區,東山區公所大門口,7.08,1.51,二
東山區,東山運動公園(石碑前),5.32,1.03,二
東山區,東山籃記鴨頭,7.22,1.12,二
東山區,碧軒寺廟前廣場,6.15,1.5,二
東區,大東夜市,4.81,1.4,二
東區,台南市立醫院,5.2,1.51,二
東區,市立圖書館_東區分館,4.7,1.03,二
東區,全聯福利中心(後甲店),4.9,1.12,二
東區,東門城圓環,5.99,1.5,二
南化區,公有零售市場,8.38,0.93,二
,(台南南化區),,,
南化區,南化水庫紀念碑,4.61,0.61,二
南化區,南化玉山寶光聖堂,5.21,1.46,二
,停車場,,,
南化區,南化南橫起點,6.5,1.22,二
南化區,南化區公所大門口,7.48,0.92,二
南區,大林新城(大同路),4.51,1.3,二
南區,台南航空站,5.32,1.39,二
南區,安平工業服務中心,3.96,1.18,二
南區,南區區公所,6.03,1.45,二
南區,燕窩觀光工廠,5.59,1.23,二
後壁區,後壁火車站大廳,5.08,1.26,二
後壁區,後壁區公所大門口,6.46,1.39,二
後壁區,烏樹林蘭花園區展示館停車場,3.79,1.15,二
後壁區,無米樂土溝農村中山堂,5.35,1.3,二
後壁區,菁寮無米樂老街,7.54,1.06,二
柳營區,江南渡假村入口處,5.33,1.26,二
柳營區,柳營工業區服務中心大門口,6.03,1.26,二
柳營區,柳營火車站售票處,8.87,1.43,二
柳營區,柳營奇美醫院門診大廳,8.63,1.39,二
柳營區,柳營區公所大門口,4.01,1.3,二
將軍區,文衡殿,7.4,1.43,二
將軍區,方圓美術館,8.13,1.37,二
將軍區,馬沙溝海水浴場,6.95,1.12,二
將軍區,將軍區公所,5.53,1.41,二
將軍區,將軍漁港,6.5,1.44,二
麻豆區,代天府,4.2,1.18,二
麻豆區,阿蘭碗粿,8.92,1.41,二
麻豆區,第三公有市場,4.7,1.16,二
麻豆區,麻豆區公所,8.42,1.39,二
麻豆區,總爺藝文中心,8.39,1.36,二
善化區,成功啤酒廠,9.64,1.48,二
善化區,麥當勞,6.97,1.28,二
善化區,善化區公所,5.4,1.44,二
善化區,善化糖廠,6.99,1.05,二
善化區,新萬香餐廳,8.97,1.38,二
新化區,85度C咖啡(台南新化),4.5,1.36,二
新化區,民生夜市,6.68,1.51,二
新化區,虎頭埤風景區,9.38,1.46,二
新化區,新化圓環,3.63,1.09,二
新化區,新化演藝廳,7.56,1.45,二
新市區,85度c咖啡(台南新市),4.29,1.19,二
新市區,南科迎曦湖,4.01,1.41,二
新市區,新市社教館,6.04,1.27,二
新市區,新市區公所,5.65,1.46,二
新市區,新市遠東科大,4.32,1.11,二
新營區,中山公園(南瀛綠都心停車場入口處),3.91,1.28,二
新營區,太子宮廟前廣場,7.86,1.41,二
新營區,市政府大門口,6.14,1.42,二
新營區,家樂福美食街,11.16,1.33,二
新營區,新營火車站大廳,7.18,1.42,二
楠西區,玄空法寺停車場,3.69,1.05,二
楠西區,梅嶺二層坪停車場,7.17,1.08,二
楠西區,梅嶺觀景樓餐廳停車場,3.75,1.32,二
楠西區,曾文水庫入口處,7.36,1.26,二
楠西區,楠西區公所大門口,7.52,1.36,二
學甲區,頑皮世界野生動物園售票處,6.87,1.4,二
學甲區,學甲中正路公有市場,5.36,0.88,二
學甲區,學甲全聯福利中心,5.76,0.89,二
學甲區,學甲頂好超市,6.78,1.1,二
學甲區,學甲慈濟宮,6.42,1.25,二
龍崎區,牛埔農塘,7.62,1.29,二
龍崎區,虎形山公園,5.47,1.01,二
龍崎區,龍山文衡殿,6.39,1.17,二
龍崎區,龍崎大坑農場,5.62,0.7,二
龍崎區,龍崎區公所,7.12,1.51,二
歸仁區,仁壽宮,7.91,1.28,二
歸仁區,台南高鐵站,5.57,1.34,二
歸仁區,長榮大學大門口,3.92,1.21,二
歸仁區,黃昏市場,8.27,1.43,二
歸仁區,歸仁區公所,5.69,1.47,二
關廟區,山西宮,8.13,1.4,二
關廟區,公有零售市場,5.93,1.45,二
,(台南關廟區),,,
關廟區,休閒運動公園,4.99,1.43,二
關廟區,南一高爾夫球場,12.13,1.46,二
關廟區,關廟區公所,5.29,1.1,二
鹽水區,八角樓入口處,8.65,1.49,二
鹽水區,月津港興隆橋,4.27,1.42,二
鹽水區,武廟廟前廣場,9.7,1.44,二
鹽水區,橋南老街磚仔埕入口,6.9,1.41,二
鹽水區,鹽水區公所大門口,6.99,1.29,二
高雄市,,,,
三民區,大樂量販店美食街,10.51,1.22,二
三民區,明誠二路星巴克,5.45,1.21,二
三民區,建國路建國商場門口,7.42,1.3,二
三民區,高雄火車站前站大廳,6.01,1.34,二
三民區,捷運高雄火車站,11.01,1.36,二
大社區,大社果菜市場,5.63,1.41,二
大社區,大社區公所,7.66,1.31,二
大社區,大覺寺,8.76,1.37,二
大社區,多那之(中山中正路口),7.98,1.37,二
大社區,觀音山風景區(翠湖),7.64,1.28,二
大寮區,大寮區公所大門,6.17,1.34,二
大寮區,大寮捷運(1號出口),4.18,1.16,二
大寮區,包公廟(石獅子旁),6.3,1.43,二
大寮區,後庄火車站(大廳),3.34,1.24,二
大寮區,輔英科大門口,7.96,1.27,二
大樹區,九曲堂火車站(圓環廣場),8.16,1.38,二
大樹區,佛陀紀念館(禮敬大廳),8.72,1.2,二
大樹區,斜張橋(新東港餐廳停車場),8.34,1.44,二
大樹區,義大世界美食街,10.12,1.38,二
大樹區,舊鐵橋濕地公園,4.14,1.25,二
小港區,小港區公所,8.96,1.32,二
小港區,小港機場國際航廈,4.2,0.95,二
小港區,小港醫院大廳,7.23,1,二
小港區,高雄餐旅學校,6.52,0.99,二
小港區,捷運小港機場站,3.87,0.86,二
仁武區,上帝宮,7.23,1.45,二
仁武區,仁武區公所,5.61,1.07,二
仁武區,光之塔(仁武運動公園旁),6.57,1.38,二
仁武區,東照山關帝廟,10.83,1.4,二
仁武區,登發夜市(登發國小前),7.92,1.29,二
內門區,七星塔正前方停車格,7.85,1.34,二
內門區,內門區公所,6.86,1.35,二
內門區,內門紫竹寺正門口前停車場,4.78,0.39,二
內門區,內門順賢宮正門口,10.15,1.3,二
內門區,內門實踐大學正門口,4.55,1.05,二
六龜區,六龜妙崇寺廟正前面,4.43,0.89,二
六龜區,天台山神威道場入口,5.84,1.28,二
六龜區,彩蝶谷風景特定區,7.83,1.28,二
六龜區,新威森林公園入口處,1.89,1.07,二
六龜區,寶來遊客中心入口馬路前,8.8,1.42,二
左營區,世運主場館,6.49,1.1,二
左營區,左營高鐵站售票口前,7.38,1.05,二
左營區,左營環球購物中心大廳,8.1,1.36,二
左營區,鼎王麻辣鍋,6.55,1.3,二
左營區,榮總門診大廳,4.69,1.08,二
永安區,永安宮,8.34,1.4,二
永安區,永安區公所,5.88,1.43,二
永安區,永安漁港,3.66,1.34,二
永安區,永安濕地生態教育中心,2.22,1.23,二
田寮區,日月禪寺門口,6.67,1.15,二
田寮區,月世界泥岩地質生態解說中心,6.86,0.85,二
田寮區,月世界風景區入口,6.56,0.83,二
田寮區,田寮大崗山高爾夫球場大門,8.75,1.39,二
田寮區,花季溫泉會館入口,10.23,1.32,二
甲仙區,三冠王芋冰城,7.68,1.47,二
甲仙區,小奇芋冰老店門口,6.59,1.49,二
甲仙區,甲仙大橋橋尾,7.92,1.4,二
甲仙區,甲仙化石館正入口前,12.45,1.5,二
甲仙區,親水公園公廁前,6.41,1.36,二
杉林區,小份尾幸福田餐廳門口,5.36,0.88,二
杉林區,月光山溫泉養生村入口大石頭前,5.7,1.31,二
杉林區,杉林區公所,4.55,0.99,二
杉林區,慈濟大愛園區入口,8.34,1.39,二
杉林區,慈濟大愛園區原民文化公園入口,5.34,1.37,二
那瑪夏區,那瑪夏大光教會,1.45,0.52,二
,正門口,,,
那瑪夏區,那瑪夏消防局,7.05,1.31,二
那瑪夏區,那瑪夏舊區公所,2.13,0.69,二
那瑪夏區,瑪雅遊客中心門口,7.09,1.27,二
岡山區,中山公園(牌樓下),4.9,1.28,二
岡山區,文化中心演藝廳門口,7.35,1.2,二
岡山區,火車站(大廳),8.07,1.3,二
岡山區,區公所大門,2.96,0.94,二
岡山區,捷運南岡山站(售票機前),5.62,1.4,二
林園區,林園區公所大門,5.71,1.25,二
林園區,建佑醫院門口,5.74,1.08,二
林園區,清水巖(廣場停車場),7.86,1.38,二
林園區,漁港公園(廣場入口),6.88,1.1,二
林園區,燦坤門口,4.12,1.03,二
阿蓮區,大岡山風景區,4.54,1.21,二
,(登山口停車場),,,
阿蓮區,大岡山超峰寺停車場,0.08,0.09,二
阿蓮區,快樂天堂生態,5.05,1.29,二
,休閒農場大門,,,
阿蓮區,阿蓮區公所門口,7.45,1.29,二
阿蓮區,農春鎮生態教育農園區大門,2.56,1.09,二
前金區,大立伊勢丹百貨,5.33,1.32,二
,(計程車處),,,
前金區,中央公園空地,7.07,1.31,二
,(大統百貨對面),,,
前金區,多那之門口(紅綠燈下),4.38,1.29,二
前金區,高雄市立圖書館(機車棚),7.83,1.4,二
前金區,漢神百貨(石獅子前),4.14,1.18,二
前鎮區,光華夜市(徐排骨酥),7.31,1.36,二
前鎮區,金鑽夜市(招牌前),4.62,1.17,二
前鎮區,捷運三多站(二號出口),2.67,1.1,二
前鎮區,新光三越(石獅子),5.86,1.37,二
前鎮區,夢時代(摩天輪前),4.68,1.35,二
美濃區,美濃中正湖導覽地圖前,4.56,1.3,二
美濃區,美濃客家文物館正門口,6.56,1.21,二
美濃區,美濃區公所正門口,5.75,1.27,二
美濃區,原鄉緣紙傘文化村正門口,7.83,1.31,二
美濃區,高雄休閒農場正門口,1.61,0.83,二
苓雅區,B&Q(武廟路門口),8.93,1.41,二
苓雅區,光榮碼頭(鞋全家福對面空地),7.6,1.35,二
苓雅區,吳寶春麵包店(永定街機車格),5.56,1.14,二
苓雅區,金礦咖啡四維店門口,6.46,1.16,二
苓雅區,高雄市政府門口(四維),5.45,1.16,二
茂林區,一山沐咖啡屋大門口,8.44,1.37,二
茂林區,多納村石板屋,6.29,1.2,二
茂林區,茂林生態公園入口,7.72,1.47,二
茂林區,茂林產業行銷聯合展售中心門口,5.35,1.3,二
茄萣區,茄萣區公所,5.76,1.2,二
茄萣區,情人碼頭,6.56,1.32,二
茄萣區,郭常喜兵器藝術文物館,4.11,1.16,二
茄萣區,賜福宮,8.14,1.26,二
茄萣區,興達港觀光漁市入口處,8.57,1.34,二
桃源區,布農文化展示中心正門口,4.66,1.4,二
桃源區,拉芙蘭藝術村正門口,5.42,1.38,二
桃源區,桃源原住民文物館正門口,7.11,1.03,二
桃源區,梅山青年活動中心正門口,3.81,1.11,二
桃源區,梅蘭山莊正門口,5.98,1.11,二
梓官區,赤崁清水宮(旁海濱),6.31,1.36,二
梓官區,梓官城隍廟前廣場,5.43,1.41,二
梓官區,梓官區公所大門口,7.02,1.56,二
梓官區,蚵仔寮漁港漁市停車場,6.07,1.3,二
梓官區,濱海夜市(蚵寮國小後門),5.88,1.44,二
鳥松區,得月樓,5.65,1.23,二
鳥松區,鳥松區公所,6.6,1.33,二
鳥松區,圓山大飯店門口,3.13,1.04,二
鳥松區,澄清湖售票亭,6.97,1.25,二
鳥松區,澄清湖棒球場,5.46,1.34,二
湖內區,大湖火車站候車室,7.13,1.09,二
湖內區,天真福廟前,5.24,1.45,二
湖內區,明寧靖王墓園(牌樓下),4.56,1.38,二
湖內區,東方設計學院大門,4.88,1.3,二
湖內區,湖內區公所門口,5.98,1.05,二
新興區,六合夜市,6.51,1.26,二
新興區,文化中心,3.39,1.13,二
新興區,美麗島站光之穹頂,9.3,1.31,二
新興區,捷運中央公園站,2.93,1.1,二
新興區,捷運美麗島站光之穹頂,4.91,1.02,二
新興區,新崛江商圈,6.81,1.37,二
楠梓區,台糖量販店,4.95,1.23,二
楠梓區,楠梓火車站,8.77,1.39,二
楠梓區,楠梓加工區管理處,9.98,1.35,二
楠梓區,楠梓家樂福,7.11,1.16,二
楠梓區,德賢路德惠路多那之咖啡,2.65,0.97,二
路竹區,天后宮(石獅子),9.09,1.18,二
路竹區,火車站候車室,9.49,1.32,二
路竹區,高苑圖資大樓門口,1.9,1.02,二
路竹區,路竹夜市(民強民富街口),4.56,1.29,二
路竹區,路竹區公所門口,5.24,1.33,二
鼓山區,老四川門口,8.98,1.39,二
鼓山區,西子灣英國領事館,11.59,1.34,二
鼓山區,美術館東側門(圓形廣場),2.27,1.11,二
鼓山區,瑞豐夜市,5.99,1.19,二
鼓山區,鼓山渡船頭,7.39,1.43,二
旗山區,天后宮市場巷入口,5.72,1.18,二
旗山區,枝仔冰城正門口,5.23,1.24,二
旗山區,武德殿文化中心華中街路旁,6.48,1.27,二
旗山區,旗山糖廠銷售中心旁,8.84,1.44,二
旗山區,旗山舊火車站後門,8,1.23,二
旗津區,海岸公園貝殼館門口,7.21,1.34,二
旗津區,旗津風車公園,5.72,1,二
,(發電機下),,,
旗津區,旗津海產街,6.88,1.27,二
,(海忠寶前),,,
旗津區,旗津旗后觀光市場,6.66,0.98,二
,(7號入口),,,
旗津區,廣濟宮(石獅子前),8.2,1.38,二
鳳山區,大東文化中心,6.76,1.14,二
鳳山區,五甲夜市,5.85,1.1,二
鳳山區,高雄市政府鳳山行政中心,4.21,1.14,二
鳳山區,鳳山火車站,5.4,1.33,二
鳳山區,衛武都會公園,6.99,1.34,二
橋頭區,田中三山國王,5.38,1.26,二
橋頭區,橋頭老街舊戲院前,4.94,1.27,二
橋頭區,橋頭區公所,7.21,1.31,二
橋頭區,橋頭糖廠台糖館,8.23,1.28,二
燕巢區,阿公店水庫大門,6.04,1.35,二
燕巢區,烏山頂泥火山自然保留區入口處,5.57,1.12,二
燕巢區,義大醫院大廳,3.76,0.86,二
燕巢區,燕巢果菜市場,5.72,1.28,二
燕巢區,燕巢區公所,5.06,1.23,二
彌陀區,南寮海岸光廊,3.7,1.06,二
彌陀區,彌陀南寮,5.79,1.15,二
,假日漁市停車場,,,
彌陀區,彌陀區公所大門口,5.94,1.46,二
彌陀區,彌陀區濱海公園停車場,3.4,1.23,二
彌陀區,彌陀彌壽宮廟前廣場,5.12,1.3,二
鹽埕區,冬粉王,5.05,1.2,二
鹽埕區,香蕉碼頭,4.7,1.32,二
鹽埕區,捷運鹽埕埔站,2.68,1.09,二
鹽埕區,漁人碼頭,2.8,0.99,二
鹽埕區,駁二藝術特區,9.83,1.43,二
金門縣,,,,
金沙鎮,823戰役勝利紀念碑,8.9,1.47,二
金沙鎮,金沙車站,6,1.25,二
金沙鎮,金沙鎮風獅爺,6.95,1,二
金沙鎮,金門民俗文化村入口,10.33,1.35,二
金沙鎮,馬山觀測站坑道入口,7.42,1.03,二
金城鎮,金門水岸碼頭大廳,6.56,1.33,二
金城鎮,金門古崗樓門口,5.48,1.41,二
金城鎮,金門莒光樓大門口,2.94,1.27,二
金城鎮,金門縣立體育場大門,4.24,1.11,二
金城鎮,金門縣政府1999管理室,5.53,1.43,二
金湖鎮,山外車站侯車亭,4.31,1.26,二
金湖鎮,山外護國寺廟口,7.56,1.46,二
金湖鎮,金門機場售票大廳,8.21,1.39,二
金湖鎮,陳景蘭洋樓門口,5.88,1.07,二
金湖鎮,觀光漁港,0.77,0.13,二
金寧鄉,金門大學大門口,7.07,1.47,二
金寧鄉,金門后湖濱海公園,4.83,1.01,二
金寧鄉,金門金酒生活館,4.2,0.88,二
,展館大廳,,,
金寧鄉,金門風獅爺免稅商店街,7.08,1.26,二
金寧鄉,金門國家公園,10.1,1.19,二
,中山林遊客中心,,,
烈嶼鄉,地雷主題館門口,5.11,1.07,二
烈嶼鄉,烈女廟廟口,4.79,0.91,二
烈嶼鄉,烈嶼鄉公所門口,10.17,1.26,二
烈嶼鄉,烈嶼鄉文化館門口,9.43,1.38,二
烈嶼鄉,勝利門門口,4.8,0.81,二
