"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
97,"24917713","邁斯科技有限公司","臺南市東區裕和二街176號5樓","李昕鋒",3000000,"1041230"
98,"24917755","華仁膠業有限公司","臺南市永康區永科三路99號2樓2-4室","毛宗仁",100000,"1041230"
99,"24917782","宥凱企業股份有限公司","臺南市安南區工業五路30號1樓","黃國宸",10000000,"1041231"
100,"24917827","瀚穆實業有限公司","臺南市安平區億載里平豐路69號1樓","劉秋薇",200000,"1041231"
101,"24917848","樂廷科技有限公司","臺南市永康區鹽行里中正北路317巷12弄71號","陳亭君",200000,"1041231"
102,"24917853","沛紘國際貿易有限公司","臺南市安平區建平里永華三街60號1樓","韓麗麗",1000000,"1041231"
103,"24917869","形泰有限公司","臺南市永康區網寮里永和街213號","蘇明達",1000000,"1041231"
104,"24917875","博合國際事業有限公司","臺南市安南區淵中里本淵路99號1樓","江芸嘉",1000000,"1050104"
105,"24917880","李揚顧問股份有限公司","臺南市永康區南灣里南灣街91號","李坤煌",1400000,"1050104"
106,"24917896","珅源實業有限公司","臺南市新化區知義里知母義75號1樓","吳源泰",100000,"1050104"
107,"24917919","曜全開發有限公司","臺南市北區正覺里西門路四段430巷1弄1號1樓","蔡曜全",50000,"1050104"
108,"24917925","宏伽工業有限公司","臺南市北區成德里和緯路二段149號1樓","洪陳麗雲",20000000,"1050104"
109,"24917930","紀守有限公司","臺南市安平區國平里建平七街370巷131弄63號2樓","王程信",1000000,"1050104"
110,"24917946","信毅工程有限公司","臺南市佳里區禮化里佳里興369之17號1樓","劉家鈞",616800,"1050104"
111,"24917951","逸興通訊有限公司","臺南市安平區華平里華平路559號1樓","許素芬",1000000,"1050104"
112,"24917967","勝鉦實業有限公司","臺南市安定區中榮里許中營24之17號","蘇浚斌",15000000,"1050104"
113,"24917988","進傑有限公司","臺南市學甲區新榮里仁和街5號1樓","李進傑",500000,"1050104"
114,"24917994","慶隆成能源實業有限公司","臺南市東區成大里育樂街135號1樓","陳宗和",250000,"1050105"
115,"24918001","鋐鈦精密有限公司","臺南市佳里區安西里忠孝路314號1樓","楊裕慶",1000000,"1050105"
116,"24918017","旭泰通信有限公司","臺南市西港區西港里中山路306號1樓","劉雪櫻",100000,"1050105"
117,"24918023","一張板凳數據應用股份有限公司","臺南市永康區正強里中正路１巷２７號1樓","董威成",2000000,"1050105"
118,"24918038","綠工坊創新顧問有限公司","臺南市永康區永安路一六五巷一五一號一樓","陳景濬",880000,"1050105"
119,"24918059","鴻億精密工業有限公司","臺南市新化區唪口里唪口104之1號","葉麗蘭",6200000,"1050105"
120,"24918065","宏佳工程有限公司","臺南市永康區永平街２９８巷１３之６號","吳榮華",500000,"1050106"
121,"24918071","關雲長科技有限公司","臺南市永康區復國路76號13樓之1","秦國慶",1000000,"1050105"
122,"24918086","昕利昌五金有限公司","臺南市東區自強里東門路3段37巷63弄24號1樓","蔡松穆",3000000,"1050106"
123,"24918092","崧有企業有限公司","臺南市安南區溪墘里海佃路一段112號1樓","方晨翰",1000000,"1050106"
124,"24918109","盈欽科技有限公司","臺南市北區文成里臨安路二段143巷29弄21號2樓","林志盈",1000000,"1050106"
125,"24918115","鉑昇科技有限公司","臺南市善化區裕德路60巷19號","黃郁棠",2050000,"1050106"
126,"24918121","萬象藝坊有限公司","臺南市東區龍山里崇仁街66巷3號1樓","周寄希",500000,"1050106"
127,"24918136","正在實業有限公司","臺南市中西區西賢里西賢一街147號1樓","彭志文",500000,"1050106"
128,"24918142","賀鉅有限公司","臺南市東區崇成里崇德十二街38號1樓","古清煥",500000,"1050107"
129,"24918157","琨誠有限公司","臺南市中西區水仙里國華街3段70號","顏琨杰",1000000,"1050106"
130,"24918163","寬室空間設計有限公司","臺南市東區泉南里東門路1段212巷10號1樓","陳效之",1000000,"1050107"
131,"24918179","祐達有限公司","臺南市北區西門路4段1巷56號1樓","張圍盛",50000,"1050107"
132,"24918184","楓蕎空間室內設計有限公司","臺南市安南區溪心里安吉路二段51號2樓","林家蓁",1000000,"1050107"
133,"24918190","禎堡有限公司","臺南市中西區中正路355號1樓","王儷禎",1500000,"1050107"
134,"24918207","上億傳播有限公司","臺南市安南區理想里海佃路二段150巷10弄36號1樓","莊膳榕",3000000,"1050107"
135,"24918213","金釵實業有限公司","臺南市關廟區山西里文衡路133巷19號1樓","黃陳金釵",1000000,"1050107"
136,"24918229","熔藝影像股份有限公司","臺南市永康區新民街66巷3號4樓之10","杜保賢",500000,"1050107"
137,"24918234","懷霈生技有限公司","臺南市新營區王公里12鄰義和街7之3號1樓","黃郁堯",150000,"1050108"
138,"24918240","台苯投資有限公司","臺南市安南區顯宮里工業三路87號","林芳慶",29000000,"1050111"
139,"24918255","森硯室內裝修設計工程有限公司","臺南市安平區文平里永華二街40巷104號","林子晴",1000000,"1050111"
140,"24918261","水源管業有限公司","臺南市學甲區仁得里公園街76之8號1樓","吳信芳",1000000,"1050108"
141,"24918277","台驊科技股份有限公司","臺南市中西區開山里府前路一段97號1樓","李建璋",1000000,"1050111"
142,"24918282","鵬升科技有限公司","臺南市東區東光里東光路一段110號1樓","楊聿軒",2800000,"1050111"
143,"24918298","元贊有限公司","臺南市中西區民權路二段177號1樓","葉永昌",100000000,"1050111"
144,"24918305","原博精密有限公司","臺南市安南區安和里府安路三段330巷5號1樓","許嘉原",600000,"1050111"
145,"24918311","易德國際研究有限公司","臺南市東區裕信路252號1樓","陳程豐",500000,"1050111"
146,"24918327","天隆企業有限公司","臺南市將軍區忠興里16鄰忠興157之22號","郭玫珂",1500000,"1050112"
147,"24918332","名宇有限公司","臺南市安南區四草里四草大道81巷6弄3號1樓","李孟真",50000,"1050111"
148,"24918348","宏佳騰創新科技股份有限公司","臺南市山上區南洲里南洲41號","鍾杰霖",10000000,"1050113"
149,"24918353","大瀚貿易有限公司","臺南市北區文元里文賢路1122巷138號3樓","吳宇順",1000000,"1050111"
150,"24918369","雅森國際貿易有限公司","臺南市安南區砂崙里青砂街一段633巷20弄16號1樓","陳森茂",200000,"1050111"
151,"24918375","昌晟塑膠企業有限公司","臺南市北區大港里大興街226巷3號1樓","張玉霞",1000000,"1050111"
152,"24918380","朝羿光電能源有限公司","臺南市東區自強里東門路三段31號6樓","黃智奎",5000000,"1050111"
153,"24918396","無疆科技有限公司","臺南市永康區鹽行里正南五街72號","蔡季娟",2000000,"1050111"
154,"24918403","元發太陽能科技有限公司","臺南市柳營區重溪里小脚腿36之43號1樓","連元勳",100000,"1050111"
155,"24918419","朝鈺科技工程有限公司","臺南市安平區平安里安平路550巷17弄55號1樓","王鈺婷",200000,"1050112"
156,"24918425","尼迪亞國際有限公司","臺南市東區崇學里崇學路2號2樓","許銘修",200000,"1050111"
157,"24918430","豐舟國際股份有限公司","臺南市東區富裕里東門路二段297號4樓之1","毛耀呈",7500000,"1050112"
158,"24918451","誼餉食品企業有限公司","臺南市北區東興里小東路307巷49-4號5樓","王誼評",1000000,"1050112"
159,"24918467","環宇全球不動產有限公司","臺南市南區金華路二段203號1樓","邱詠鈞",1000000,"1050112"
160,"24918488","力德富國際有限公司","臺南市南區新興里健康路二段56號6樓之3","鍾佳玲",300000,"1050112"
161,"24918494","皮卡丘企業有限公司","臺南市安南區溪心里安中路二段336巷37弄13號1樓","吳文忠",1000000,"1050113"
162,"24918500","柏誠開發建設有限公司","臺南市安平區文平里健康一街57巷20號1樓","林家民",25000000,"1050113"
163,"24918516","奇鈦有限公司","臺南市永康區西灣里國光七街20巷23號1樓","李信興",2000000,"1050113"
164,"24918522","閎荃人力開發有限公司","臺南市東區富裕里東門路二段297號13樓","陳柏智",300000,"1050113"
165,"24918537","寶廚設計有限公司","臺南市永康區中興里中華一路66號1樓","李瑛修",100000,"1050113"
166,"24918543","好房科技有限公司","臺南市東區龍山里長榮路一段256號8樓之2","鄭瑞雲",1000000,"1050113"
167,"24918558","華綸國際有限公司","臺南市東區龍山里東門路一段360號2樓","吳丞軒",5000000,"1050113"
168,"24918564","恭琳有限公司","臺南市南區新生里大同路二段136巷11號7樓之3","黃家峻",2000000,"1050113"
169,"24918570","琨庭有限公司","臺南市安南區原佃里本原街一段２７５號1樓","翁得敬",500000,"1050113"
170,"24918585","三門機械股份有限公司","臺南市玉井區中正里中正路581號1樓","邱賀新",1000000,"1050113"
171,"24918591","永承生技有限公司","臺南市安南區安順里安豐二街38號1樓","蔡亮傳",40000,"1050114"
172,"24918608","奇鼎精密有限公司","臺南市北區文元里文賢二街272號1樓","賴威霆",2000000,"1050114"
173,"24918614","展華鋼構有限公司","臺南市永康區永福街97巷10號8樓之9","蘇千芳",2000000,"1050114"
174,"24918620","申詠鑫貿易有限公司","臺南市安南區新順里培安二街55號1樓","方語瑄",990000,"1050104"
175,"24918635","唐恩文化有限公司","臺南市中西區公正里衛民街70巷28號1樓","李明燦",200000,"1050114"
176,"24918641","嘉宸管理顧問有限公司","臺南市東區莊敬里中華東路一段92號13樓之5","蔡政言",500000,"1050114"
177,"24918656","達譽國際有限公司","臺南市中西區成功路453號12樓之1","張文如",1000000,"1050114"
178,"24918662","璽湘成有限公司","臺南市永康區勝利里中華一路203巷6號2樓之3","周書弘",300000,"1050114"
179,"24918678","仟紘生化國際有限公司","臺南市新營區三仙里育德九街27之9號1樓","何昀諠",600000,"1050114"
180,"24918683","亞易國際有限公司","臺南市永康區復華里復國二路187號1樓","劉素梅",50000,"1050114"
181,"24918699","三永電產國際有限公司","臺南市北區西門路三段159號11樓之2","黃仲裕",5000000,"1050114"
182,"24918706","東山中興有限公司","臺南市東山區東中里中興路30號1樓","林志明",100000,"1050115"
183,"24918712","佰麗茶食餐飲企業有限公司","臺南市中西區開山里開山路129號1樓","劉維揚",12000000,"1050114"
184,"24918728","威秀國際有限公司","臺南市東區長東街42號2樓","林鉦荃",100000,"1050114"
185,"24918733","天陽建設股份有限公司","臺南市東區富強二街7號1樓","劉人豪",8000000,"1050115"
186,"24918754","春嬌志明不動產仲介經紀有限公司","臺南市新營區民榮里復興路199號1樓","石春芳",1000000,"1050115"
187,"24918760","采榮科技有限公司","臺南市東區自強里東門路三段31號4樓之1","楊若晨",3000000,"1050115"
188,"24918776","寶祥塑膠工業有限公司","臺南市東區崇明里中華東路三段389號16樓之2","謝國珍",3000000,"1050115"
189,"24918781","正龍營造有限公司","臺南市東區東明里東安路30巷10弄20號1樓","魏志龍",3000000,"1050114"
190,"24918797","錚森營造有限公司","臺南市安平區國平里建平一街202巷3弄32號","蔡雨錚",3000000,"1050114"
191,"24918804","領航實業有限公司","臺南市北區公園里成功路54號9樓之1","謝麗莉",5000000,"1050115"
192,"24918810","藍星節能科技有限公司","臺南市關廟區香洋里南雄路一段1106號1樓","楊承昌",200000,"1050115"
193,"24918826","聖德科技工程有限公司","臺南市新市區港墘里南港街131號1樓","連雅芳",700000,"1050115"
194,"24918831","佳事達國際有限公司","臺南市永康區中山北路208號1樓","周顯貴",500000,"1050115"
195,"24918852","麗農實業有限公司","臺南市新營區民生里三民路218之1號1樓","蔡銘峯",1020000,"1050115"
196,"24918874","青傑有限公司","臺南市安南區梅花里安中路一段703巷53-1號","莊育民",500000,"1050118"
197,"24918889","嘉祐興業有限公司","臺南市安南區國安街56巷67弄43號2樓","蔡易杰",10000000,"1050118"
198,"24918895","砡嘉有限公司","臺南市南區金華路一段484巷121弄3號1樓","何宗義",1000000,"1050119"
199,"24918902","大員數位影音有限公司","臺南市東區長榮路一段256號8樓之2","王嘉彬",200000,"1050119"
200,"24918918","弘丞科技有限公司","臺南市歸仁區崙頂里崙頂二街17巷6號1樓","劉鴻誠",2000000,"1050119"
201,"24918924","弘曜有限公司","臺南市南區佛壇里興南街449號","陳乃綸",1680000,"1050118"
202,"24918939","聯嘉國際貿易有限公司","臺南市永康區王行里育樂街147號","陳炫文",2000000,"1050119"
203,"24918945","國統三合有限公司","臺南市安南區州北里安昌街85巷75弄37號1樓","劉素雲",3300000,"1050119"
204,"24918950","富康應用科技有限公司","臺南市仁德區仁義里中山路513號12樓之2","周淑軒",1000000,"1050119"
205,"24918966","宏仁精品有限公司","臺南市安南區頂安里北安路三段394巷20弄1號1樓","林佩汝",2000000,"1050118"
206,"24918972","固佳醫療輔具有限公司","臺南市北區裕民里金華路五段13號2樓","楊明峰",300000,"1050119"
207,"24918987","璽羅食品有限公司","臺南市仁德區中山路777號1樓","林玉琪",500000,"1050119"
