Content,AreaName,PSI,MajorPollutant,FPMI,ForecastDate,PublishTime
1.23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.23日高屏地區PM2.5指標為中等級，其他地區PM2.5指標為低等級。3.24及25日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低等級。,雲嘉南,45 - 65,懸浮微粒,3 - 5,2016-01-24,2016-01-22 18:30
1.23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.23日高屏地區PM2.5指標為中等級，其他地區PM2.5指標為低等級。3.24及25日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低等級。,中部,45 - 65,懸浮微粒,3 - 5,2016-01-24,2016-01-22 18:30
1.23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.23日高屏地區PM2.5指標為中等級，其他地區PM2.5指標為低等級。3.24及25日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低等級。,竹苗,35 - 55,懸浮微粒,2 - 4,2016-01-24,2016-01-22 18:30
1.23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.23日高屏地區PM2.5指標為中等級，其他地區PM2.5指標為低等級。3.24及25日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低等級。,北部,35 - 55,懸浮微粒,2 - 4,2016-01-24,2016-01-22 18:30
1.23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.23日高屏地區PM2.5指標為中等級，其他地區PM2.5指標為低等級。3.24及25日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低等級。,澎湖,20 - 40,,1 - 3,2016-01-23,2016-01-22 18:30
1.23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.23日高屏地區PM2.5指標為中等級，其他地區PM2.5指標為低等級。3.24及25日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低等級。,金門,30 - 50,,1 - 3,2016-01-23,2016-01-22 18:30
1.23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.23日高屏地區PM2.5指標為中等級，其他地區PM2.5指標為低等級。3.24及25日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低等級。,馬祖,25 - 45,,1 - 3,2016-01-23,2016-01-22 18:30
1.23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.23日高屏地區PM2.5指標為中等級，其他地區PM2.5指標為低等級。3.24及25日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低等級。,花東,20 - 40,,1 - 3,2016-01-23,2016-01-22 18:30
1.23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.23日高屏地區PM2.5指標為中等級，其他地區PM2.5指標為低等級。3.24及25日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低等級。,宜蘭,20 - 40,,1 - 3,2016-01-23,2016-01-22 18:30
1.23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.23日高屏地區PM2.5指標為中等級，其他地區PM2.5指標為低等級。3.24及25日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低等級。,高屏,55 - 75,懸浮微粒,4 - 6,2016-01-23,2016-01-22 18:30
1.23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.23日高屏地區PM2.5指標為中等級，其他地區PM2.5指標為低等級。3.24及25日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低等級。,雲嘉南,30 - 50,,1 - 3,2016-01-23,2016-01-22 18:30
1.23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.23日高屏地區PM2.5指標為中等級，其他地區PM2.5指標為低等級。3.24及25日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低等級。,中部,30 - 50,,1 - 3,2016-01-23,2016-01-22 18:30
1.23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.23日高屏地區PM2.5指標為中等級，其他地區PM2.5指標為低等級。3.24及25日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低等級。,竹苗,25 - 45,,1 - 3,2016-01-23,2016-01-22 18:30
1.23日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2.23日高屏地區PM2.5指標為中等級，其他地區PM2.5指標為低等級。3.24及25日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低等級。,北部,30 - 50,,1 - 3,2016-01-23,2016-01-22 18:30
