MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorType,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
Q10152,竹崎鄉鹿滿國小,2014-10-15,嘉義縣,竹崎鄉,鹿滿村鹿鳴路2號,91,學校極低頻設施,5.357,mG,True
J00763,湖口鄉中湖路2號-基地台量測,2014-10-30,新竹縣,湖口鄉,中湖路2號,11,手機基地臺,2.569873E-06,mW/cm<sup>2</sup>,True
J00762,湖口鄉中正路三段336號-基地台量測,2014-10-30,新竹縣,湖口鄉,中正路三段336號,11,手機基地臺,2.665761E-06,mW/cm<sup>2</sup>,True
P10141,雲林縣斗六市長安里長安西路13號旁(手機基地台),2014-10-27,雲林縣,斗六市,長安里長安西路13號,11,手機基地臺,2.5E-07,mW/cm<sup>2</sup>,True
J00761,湖口鄉八德路二段405號-基地台量測,2014-10-30,新竹縣,湖口鄉,八德路二段405號,11,手機基地臺,2.579893E-06,mW/cm<sup>2</sup>,True
J00759,湖口鄉八德路二段166號-基地台量測,2014-10-30,新竹縣,湖口鄉,八德路二段166號,11,手機基地臺,2.565913E-06,mW/cm<sup>2</sup>,True
J00755,新竹縣湖口鄉興華街29號前-落地型變電箱量測,2014-11-04,新竹縣,湖口鄉,興華街29號,24,落地型變壓器,62.87,mG,True
P10156,古坑鄉文昌路206號旁(手機基地台),2014-11-11,雲林縣,古坑鄉,文昌路206號,11,手機基地臺,5.2E-07,mW/cm<sup>2</sup>,True
Q10150,東石鄉三家村三塊厝17之25號對面,2014-10-24,嘉義縣,東石鄉,三家村三塊厝17之25號對面,11,手機基地臺,0.00028,mW/cm<sup>2</sup>,True
C00620,東信路314號對面,2014-09-29,基隆市,信義區,東信路314號對面,24,落地型變壓器,2.09,mG,True
C00619,東信路310號對面,2014-09-29,基隆市,信義區,東信路310號對面,24,落地型變壓器,2.06,mG,True
H00886,平鎮市忠貞路26號-基地台量測,2014-10-02,桃園縣,平鎮市,忠貞路26號,11,手機基地臺,2.1E-06,mW/cm<sup>2</sup>,True
H00885,桃園市中正路224號8樓頂-基地台量測,2014-09-10,桃園縣,桃園市,中正路224號,11,手機基地臺,3E-07,mW/cm<sup>2</sup>,True
J00769,新埔鎮義民路二段39號-基地台量測,2014-10-21,新竹縣,新埔鎮,義民路二段39號,11,手機基地臺,2.614151E-06,mW/cm<sup>2</sup>,True
Q10153,義竹鄉義竹國小,2014-10-24,嘉義縣,義竹鄉,六桂村208號,91,學校極低頻設施,15.35,mG,True
